code ;Replicate;Origin;Color;Type;Varieties;Delivered to ITAP;Alcoholic Title (v/v %);pH;TA (tart. Ac. g/L);VA (ac.Ac. g/L);TPI;Ochratoxin (ppb)
79;b;Attiki;red;semi- sweet;Unknown;12/9/2025;12.2;3.78;4.23;0.53;47.21;ΝΑ
80;a;Attiki;white;sweet;Moschato ;12/9/2025;15.3;4.11;3.43;0.47;12.58;0.33
80;b;Attiki;white;sweet;Moschato;12/9/2025;15.5;4.23;3.51;0.55;12.43;ΝΑ
81;a;Attiki;rose;sweet;Moschato ;12/9/2025;14.5;3.82;3.9;0.4;10.3;0.19
81;b;Attiki;rose;sweet;Moschato ;12/9/2025;14.8;3.76;3.78;0.32;11.02;ΝΑ
82;a;Attiki;red;sweet;Mavrodaphni ;12/9/2025;13.4;2.86;3.43;0.65;87;<LOQ
82;b;Attiki;red;sweet;Mavrodaphni;12/9/2025;13;3.01;3.98;0.56;86.5;<LOQ
83;a;Attiki;red;sweet;Unknown;12/9/2025;13.6;3.42;7.37;0.91;40.01;<LOQ
83;b;Attiki;red;sweet;Unknown;12/9/2025;14.1;3.52;6.98;0.86;47.8;<LOQ
84;a;Attiki;red;semi- sweet;Unknown;12/9/2025;11.7;3.37;6.33;0.56;45.22;0.90
84;b;Attiki;red;semi- sweet;Unknown;12/9/2025;12.1;3.41;6.25;0.48;42.17;ΝΑ
85;a;Attiki;rose;dry;Unknown;12/9/2025;11.6;3.47;5.22;0.22;22.57;<LOQ
85;b;Attiki;rose;dry;Unknown;12/9/2025;11.9;3.58;5.36;0.19;23.76;<LOQ
86;a;Attiki;red;dry;Unknown;12/9/2025;10.9;3.66;5.27;0.40;47.82;<LOQ
86;b;Attiki;red;dry;Unknown;12/9/2025;11;3.76;5.11;0.42;45.76;<LOQ
87;a;Attiki;red;dry;Unknown;12/9/2025;11.3;3.84;4.72;0.47;47.48;0.19
87;b;Attiki;red;dry;Unknown;12/9/2025;11;3.89;4.89;0.51;46.76;ΝΑ
88;a;Attiki;red;dry;Unknown;12/9/2025;12;3.8;5.07;0.49;39.01;<LOQ
88;b;Attiki;red;dry;Unknown;12/9/2025;12.2;3.78;5.01;0.44;38.1;<LOQ
89;a;Attiki;white;dry;Unknown;15/9/2025;12.9;3.41;4.71;0.34;13.98;<LOQ
89;b;Attiki;white;dry;Unknown;15/9/2025;12.5;3.5;4.78;0.39;13.79;<LOQ
