Variety;Area;Vineyard;Vintage;Type;wine code;replicate;v/v %;pH;Total Acidity (tart. Ac. mg/L);Volatile acidity (Acetic Acid mg/L);Total Phenolic Index;OTA consentration;mean tem;max temp;min temp;rain
Sauvignon blanc;Florina;Amydeo;2023;white;70;b;14;3,46;6,04;0,37;6,44;0,156;19,86;32,76;9,34;66,52
Sauvignon blanc;Florina;Amydeo;2023;white;70;c;13,9;3,45;5,67;0,38;6,76;0,1433;19,86;32,76;9,34;66,52
Asyrtiko;Larissa;Elassona;2021;white;14;a;13,4;3,28;5,68;0,26;11,8;0,602;23,9;38,54;11,66;34,96
Asyrtiko;Larissa;Elassona;2021;white;14;b;13,4;3,27;5,64;0,22;11,4;0,588;23,9;38,54;11,66;34,96
Asyrtiko;Larissa;Elassona;2021;white;14;c;13,6;3,28;5,69;0,24;11,5;0,687;23,9;38,54;11,66;34,96
Asyrtiko;Larissa;Elassona;2022;white;15;a;13,3;3,3;5,62;0,27;12,7;0,68;22,96;36,92;11,42;66,38
Asyrtiko;Larissa;Elassona;2022;white;15;b;13,5;3,31;5,61;0,23;11,8;0,831;22,96;36,92;11,42;66,38
Asyrtiko;Larissa;Elassona;2022;white;15;c;13,4;3,26;5,62;0,22;12,5;0,545;22,96;36,92;11,42;66,38
Asyrtiko;Attiki;Spata;2020;white;16;a;11,6;2,86;7,6;0,42;13,89;0,602;24,575;33,125;18,875;15,33333
Asyrtiko;Attiki;Spata;2020;white;16;b;11,9;2,88;7,54;0,45;13,16;0,589;24,575;33,125;18,875;15,33333
Asyrtiko;Attiki;Spata;2020;white;16;c;11,8;2,87;7,59;0,43;13,06;0,576;24,575;33,125;18,875;15,33333
Asyrtiko;Nemea;Koutsi;2020;white;17;a;12,3;3,07;7,6;0,64;10,39;0,57;22,46;37,12;9;30,8
Asyrtiko;Nemea;Koutsi;2020;white;17;b;12,1;3,09;7,54;0,66;10,89;0,562;22,46;37,12;9;30,8
Asyrtiko;Nemea;Koutsi;2020;white;17;c;12,2;3,05;7,6;0,65;11,07;0,582;22,46;37,12;9;30,8
Asyrtiko;Santorini;Santorini;2020;white;18;a;14,3;3,06;6,17;0,45;11,48;0,975;23,82;33,24;18,5;0,44
Asyrtiko;Santorini;Santorini;2020;white;18;b;14,5;3,08;6,1;0,44;12;0,882;23,82;33,24;18,5;0,44
Asyrtiko;Santorini;Santorini;2020;white;18;c;14;3,01;6,19;0,45;10,76;0,887;23,82;33,24;18,5;0,44
Asyrtiko;Karditsa;Karditsa;2020;white;19;a;14,6;3,27;5,48;0,34;9,55;0,982;25,35;38,125;19,6;64,36
Asyrtiko;Karditsa;Karditsa;2020;white;19;b;14,6;3,21;5,7;0,33;9,98;1,104;25,35;38,125;19,6;64,36
Asyrtiko;Karditsa;Karditsa;2020;white;19;c;14,4;3,21;5,78;0,36;9,76;1,005;25,35;38,125;19,6;64,36
Asyrtiko;Drama;Drama;2020;white;20;a;15,1;3,19;5,53;0,43;12,77;0,94;25,05;35,325;14,7;118,76
Asyrtiko;Drama;Drama;2020;white;20;b;15;3,18;5,52;0,4;12,67;0,993;25,05;35,325;14,7;118,76
Asyrtiko;Drama;Drama;2020;white;20;c;15,2;3,17;5,49;0,42;12,59;0,877;25,05;35,325;14,7;118,76
Asyrtiko;Larissa;Elassona;2021;white;30;a;12,9;3,18;5,73;0,19;10,256;0,4;24,25;38,225;14,675;34,98
Asyrtiko;Larissa;Elassona;2021;white;30;b;12,7;3,1;5,8;0,2;11,14;0,19;24,25;38,225;14,675;34,98
Asyrtiko;Larissa;Elassona;2021;white;30;c;13,1;3,2;5,76;0,17;11,432;0,378;24,25;38,225;14,675;34,98
Asyrtiko;Evia;Eretria;2022;white;34;a;13,1;2,86;7,55;0,29;14,33;0,18;22,3;35,58;10,48;15,7
Asyrtiko;Evia;Eretria;2022;white;34;b;13,4;2,87;7,43;0,25;14;0,16;22,3;35,58;10,48;15,7
Asyrtiko;Evia;Eretria;2022;white;34;c;12,9;2,83;7,48;0,3;13,56;0,202;22,3;35,58;10,48;15,7
Asyrtiko;Lipsi;Lipsi;2020;white;35;a;13;3,32;5,54;0,2;12,1;0,63;24,55;32,125;19,225;8,125
Asyrtiko;Lipsi;Lipsi;2020;white;35;b;13,1;3,34;5,52;0,15;12,7;0,6;24,55;32,125;19,225;8,125
Asyrtiko;Lipsi;Lipsi;2020;white;35;c;13,2;3,31;5,51;0,19;12,8;0,67;24,55;32,125;19,225;8,125
Asyrtiko;Lakonia;Monemvasia;2021;white;36;a;13,5;3,14;5,53;0,24;15,76;0,199;23,9;38,68;11,58;38,25
Asyrtiko;Lakonia;Monemvasia;2021;white;36;b;13,2;3,15;5,52;0,23;16;0,21;23,9;38,68;11,58;38,25
Asyrtiko;Lakonia;Monemvasia;2021;white;36;c;13,6;3,11;5,57;0,25;16,2;0,213;23,9;38,68;11,58;38,25
Asyrtiko;Lakonia;Monemvasia;2021;white;40;a;13;3,22;5,2;0,25;12,5;0,192;23,3;36,48;12,3;38,25
Asyrtiko;Lakonia;Monemvasia;2021;white;40;b;13,2;3,28;5,24;0,28;12,8;0,175;23,3;36,48;12,3;38,25
Asyrtiko;Lakonia;Monemvasia;2021;white;40;c;13,2;3,27;5,29;0,26;12,1;0,186;23,3;36,48;12,3;38,25
Asyrtiko;Crete;Iraklio ;2022;white;43;a;11,6;3,25;6,31;0,45;15,56;2,028;24,425;33,325;17,325;39,125
Asyrtiko;Crete;Iraklio ;2022;white;43;b;11,5;3,29;6,38;0,46;16;2,25;24,425;33,325;17,325;39,125
Asyrtiko;Crete;Iraklio ;2022;white;43;c;11,4;3,19;6;0,5;15,7;2,15;24,425;33,325;17,325;39,125
Asyrtiko;Lakonia;Monemvasia;2021;white;47;a;14,5;2,6;6,97;1,1;19,56;0,76;26,35;38,125;19,6;38,25
Asyrtiko;Lakonia;Monemvasia;2021;white;47;b;14,3;2,63;7;1,1;20,34;0,72;26,35;38,125;19,6;38,25
Asyrtiko;Lakonia;Monemvasia;2021;white;47;c;14,1;2,66;6,87;1,3;21,23;0,78;26,35;38,125;19,6;38,25
Asyrtiko;Viotia;Muses Valley;2022;white;49;a;12;3,28;6,11;2;10,59;3,11;26,35;38,125;19,6;32,025
Asyrtiko;Viotia;Muses Valley;2022;white;49;b;12,2;3,25;6;2;11;1,98;26,35;38,125;19,6;32,025
Asyrtiko;Viotia;Muses Valley;2022;white;49;c;12,3;3,26;6,04;2,1;11,1;2,48;26,35;38,125;19,6;32,025
Asyrtiko;Attiki;Koropi;2023;white;58;a;13;3,16;5,49;0,28;10,1;0,35;24,05;35,725;15,65;22,275
Asyrtiko;Attiki;Koropi;2023;white;58;b;13;3,18;5,5;0,3;11,5;0,3;24,05;35,725;15,65;22,275
Asyrtiko;Attiki;Koropi;2023;white;58;c;13,2;3,19;5,54;0,31;11,91;0,29;24,05;35,725;15,65;22,275
Asyrtiko;Tinos;Tinos;2023;white;59;a;12,1;3,2;6,09;0,28;14;0,189;23,76667;35,73333;14,63333;19,95
Asyrtiko;Tinos;Tinos;2023;white;59;b;12;3,23;6,1;0,3;14,8;0,168;23,76667;35,73333;14,63333;19,95
Asyrtiko;Tinos;Tinos;2023;white;59;c;12,3;3,21;6,11;0,25;14,2;0,23;23,76667;35,73333;14,63333;19,95
Asyrtiko;Achaia;Kalabrita;2022;white;60;a;12;3,23;6,1;0,45;10,2;0,48;20,64;32,78;10,74;72,4
Asyrtiko;Achaia;Kalabrita;2022;white;60;b;12;3,26;6,12;0,46;10;0,66;20,64;32,78;10,74;72,4
Asyrtiko;Achaia;Kalabrita;2022;white;60;c;12,3;3,28;6,18;0,4;10,3;0,61;20,64;32,78;10,74;72,4
